Enterococcus_hirae,1,16.75,430214.25, 247849.24603174604, 7117.0
Enterococcus_mundtii,1,13.0,502509.75, 299762.5939849624, 11485.0
Erysipelatoclostridium_ramosum,1,6.75,463475.0, 289135.6904761905, 66640.5
Escherichia_albertii,1,43.0,618342.75, 379160.9955223881, 151424.0
Escherichia_coli,43,20.0,636629.0, 395457.96883520274, 145240.0
Escherichia_fergusonii,1,23.0,574750.25, 367942.27747252746, 128425.0
Faecalibacterium_prausnitzii,3,42.0,445244.0, 265950.006772009, 7405.5
Flavonifractor_plautii,1,26.25,594490.0, 360745.85454545455, 56523.5
Francisella_noatunensis,1,66.0,271083.0, 170416.4186851211, 87381.0
Francisella_orientalis,2,66.0,273783.0, 169519.88507718698, 83436.0
Francisella_philomiragia,6,28.0,284881.75, 170935.26900085396, 49088.0
Gluconobacter_oxydans,2,587.0,494975.0, 300072.34788540244, 161694.0
Haemophilus_influenzae,15,867.0,344709.0, 207093.94622251252, 119990.0
Hafnia_alvei,1,72.25,581578.0, 385012.2610619469, 128952.5
Helicobacter_acinonychis,1,16299.0,297896.0, 186064.89078498294, 131795.0
Helicobacter_pylori,59,11232.75,353773.0, 199169.20951451853, 121296.0
Histophilus_somni,2,3055.0,339866.5, 218211.04888888888, 130016.0
Klebsiella_aerogenes,1,32.0,678767.0, 428563.5795601552, 159814.0
Lachnoclostridium_phytofermentans,1,133.0,641461.25, 400750.3743315508, 58653.0
Lacticaseibacillus_paracasei,5,34.0,371495.0, 243495.1560332871, 40951.0
Lactiplantibacillus_pentosus,1,21.25,513243.0, 309250.5714285714, 111271.0
Lactiplantibacillus_plantarum,1,27.0,429035.5, 280624.32537313434, 113755.0
Lactobacillus_acidophilus,3,16.5,246513.5, 163583.7693836978, 42949.0
Lactobacillus_gasseri,1,43.0,322643.0, 180036.55670103093, 48564.0
Lactobacillus_helveticus,5,21.0,229468.0, 169764.02325581395, 2697.0
Lactobacillus_jensenii,1,35.5,298706.5, 194135.67816091955, 130621.0
Lactococcus_garvieae,2,57.5,260827.5, 188750.44414893616, 39658.0
Latilactobacillus_sakei,1,23.75,301944.25, 170286.3698630137, 2689.5
Legionella_pneumophila,8,25.0,517820.0, 309467.6524712465, 206746.0
Leuconostoc_carnosum,1,25.0,246495.0, 153144.57518796992, 32252.0
Leuconostoc_mesenteroides,3,5.0,312506.75, 191620.80846325168, 17351.5
Listeria_ivanovii,5,9.0,319716.0, 224242.0385157351, 46471.0
Listeria_monocytogenes,37,12.0,323017.0, 216542.1637315271, 37375.0
Listeria_seeligeri,1,13.0,331601.0, 216905.71601941748, 42903.0
Listeria_welshimeri,1,9.75,323997.0, 212834.38888888888, 38113.0
Macrococcus_canis,1,12.75,291066.5, 176794.9217171717, 2503.0
Marinomonas_mediterranea,1,197.0,753184.5, 460244.5767918089, 240412.5
Moraxella_catarrhalis,3,10738.0,340003.0, 217489.4633484163, 170335.0
Mycobacterium_leprae,3,69.0,539596.0, 326053.46351242985, 109850.0
Mycobacterium_lepraemurium,1,584.0,537546.0, 337889.0882917466, 106931.0
Mycobacterium_tuberculosis,34,533.0,593094.0, 377625.8999002328, 133549.0
Mycobacteroides_abscessus,4,733.0,539681.0, 382042.3770918557, 130546.0
Mycoplasma_mycoides,4,4059.0,261640.0, 152050.0128755365, 114703.0
Mycoplasma_pneumoniae,4,3.0,167467.0, 79939.55, 26719.0
Myxococcus_xanthus,1,491.0,1201728.0, 771283.8670605613, 400050.0
Neisseria_gonorrhoeae,2,7608.0,367954.0, 236423.42200725514, 119725.0
Neisseria_musculi,1,7064.0,500124.0, 328547.07055961073, 175923.0
Neisseria_subflava,1,7335.5,416977.75, 247575.08564814815, 189345.5
Nitrosospira_multiformis,1,226.0,441776.0, 318234.59667359665, 111671.0
Ornithobacterium_rhinotracheale,2,8340.0,409996.0, 261206.83829787234, 138851.0
Paenibacillus_larvae,1,48.0,512284.75, 324800.45588235295, 83769.0
Paenibacillus_odorifer,1,147.0,990386.0, 615532.4352, 285576.0
Paeniclostridium_sordellii,1,15.0,395933.5, 250744.95965417867, 1390.0
Parabacteroides_distasonis,1,1188.0,733556.5, 473595.3307086614, 292885.0
Pasteurella_multocida,4,933.5,366706.0, 232176.3458781362, 102059.0
Pectobacterium_brasiliense,1,138.0,719776.0, 438399.5272727273, 175597.0
Pectobacterium_carotovorum,2,169.0,692871.0, 420972.80789673503, 141918.0
Pediococcus_acidilactici,1,19.0,319228.0, 191661.68333333332, 34103.0
Pediococcus_pentosaceus,2,19.0,237285.25, 141216.73157894737, 4705.5
Pedobacter_heparinus,1,1409.0,654711.0, 476435.0347107438, 243967.0
Phascolarctobacterium_faecium,1,13.25,256096.75, 178037.12182741117, 1321.0
Phocaeicola_dorei,2,803.0,836678.75, 526013.9768518518, 292112.5
Phocaeicola_vulgatus,1,451.0,728221.0, 486656.162475822, 230801.0
Proteus_mirabilis,1,96.0,594717.0, 373786.01851851854, 177196.5
Providencia_alcalifaciens,1,58.0,560378.0, 338263.14234234235, 121682.0
Providencia_stuartii,1,64.0,645311.5, 385602.16366612114, 157961.0
Pseudomonas_aeruginosa,21,501.0,831410.0, 530727.005192353, 218336.0
Pseudomonas_balearica,1,275.0,666171.0, 411388.60708534624, 196481.0
Pseudomonas_protegens,3,1526.0,761842.25, 543185.7621765601, 238998.0
Pseudomonas_simiae,2,760.0,791731.0, 521680.88828502415, 280303.5
Pseudomonas_stutzeri,5,366.0,666424.75, 416738.1994996873, 191926.0
Ralstonia_solanacearum,1,562.0,520024.0, 319282.5451055662, 139844.0
Rhodopseudomonas_palustris,7,549.0,777662.5, 488500.9191788422, 216764.0
Roseburia_intestinalis,2,101.0,679477.0, 411307.2614475628, 176539.0
Salinibacter_ruber,1,1919.0,485643.25, 331455.42194092827, 214309.0
Serratia_plymuthica,3,119.0,765300.25, 459750.2850770478, 192803.0
Shewanella_baltica,5,152.0,771885.5, 470724.23138833, 198297.5
Shigella_flexneri,4,22.75,596916.75, 386212.82345971564, 165109.0
Staphylococcus_aureus,26,11.0,277430.0, 188406.72596545174, 3120.0
Staphylococcus_capitis,1,20.0,292864.0, 182177.9511002445, 37491.0
Staphylococcus_epidermidis,1,16.75,270717.25, 176823.0705128205, 43437.0
Staphylococcus_equorum,1,15.25,314263.0, 201407.43927125505, 12020.0
Staphylococcus_haemolyticus,2,18.0,305832.0, 198985.13294797688, 12908.0
Staphylococcus_hyicus,1,6.0,302615.0, 183896.00226244345, 4651.0
Staphylococcus_lugdunensis,2,18.0,320174.5, 206204.9407821229, 43620.0
Staphylococcus_pettenkoferi,1,18.0,302932.0, 188138.5104895105, 22858.0
Staphylococcus_pseudintermedius,2,4.0,311471.0, 189579.73021181716, 11819.0
Staphylococcus_xylosus,1,19.0,311146.0, 198063.26859504133, 16183.5
Streptococcus_agalactiae,15,49.0,330236.5, 195386.31257783313, 26752.0
Streptococcus_anginosus,3,95.25,340905.0, 209053.01916932908, 95900.5
Streptococcus_dysgalactiae,4,126.0,382061.25, 202464.64404761905, 26815.0
Streptococcus_gallolyticus,2,45.0,357915.0, 202118.10316139768, 20127.0
Streptococcus_gordonii,1,34.5,281183.0, 176342.7445887446, 5313.0
Streptococcus_intermedius,3,283.5,307400.75, 195618.4190647482, 119061.0
Streptococcus_lutetiensis,1,53.25,322016.0, 185445.80172413794, 21259.0
Streptococcus_mutans,5,41.0,223062.25, 167803.0593495935, 5849.0
Streptococcus_oralis,1,49.0,331188.0, 183516.94685990337, 90090.0
Streptococcus_pasteurianus,1,63.0,349911.0, 188803.11678832117, 15084.5
Streptococcus_pyogenes,19,181.0,330198.75, 194940.22613504075, 59394.0
Streptococcus_suis,18,29.0,284956.0, 190574.40632603408, 17689.0
Streptococcus_thermophilus,8,70.0,278036.75, 169665.14469273743, 10586.5
Taylorella_equigenitalis,3,260.0,299477.0, 175928.34652406417, 87862.0
Thermoanaerobacterium_thermosaccharolyticum,1,13.5,379607.0, 239253.49582172703, 9029.0
Turicibacter_sanguinis,1,19.0,340331.0, 216597.60854092526, 3779.0
Veillonella_parvula,1,10.0,179535.5, 137470.69975186104, 1069.0
Vibrio_cholerae,2,89.0,561476.75, 358631.5383244207, 124940.0
Weissella_confusa,1,12.0,350444.0, 193105.37556561086, 3715.0
Weissella_viridescens,1,26.0,206089.5, 130086.51366120219, 36801.0
Weizmannia_coagulans,1,74.75,322181.25, 231002.13469387754, 55794.5
Yersinia_ruckeri,2,92.0,568772.0, 341982.9228007181, 155355.5
Zymomonas_mobilis,3,17389.0,461739.5, 265480.66464646463, 145333.5
